cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,control_pc1,control_pc2,response_pc1,response_pc2
PC3_PROSTATE,ACH-000090,PC3_PROSTATE,prostate,,0.9039085779205048,0.0960914220794952,0.808707494891658,0.97985,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-9.272268,7.415033,10.56745,-4.3705134
QGP1_PANCREAS,ACH-000347,QGP1_PANCREAS,pancreas,,0.5709870745303858,0.4290129254696142,0.63105515228602,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,25.579947,-27.166674,-15.792773,-7.4744353
RCC10RGB_KIDNEY,ACH-000189,RCC10RGB_KIDNEY,kidney,,0.6912541322205652,0.3087458677794348,0.660963924253193,0.765542,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-15.785566,13.243453,-0.8345598,2.5598495
RH30_SOFT_TISSUE,ACH-000833,RH30_SOFT_TISSUE,rhabdomyosarcoma,,0.6101821556124891,0.3898178443875109,0.643352463032087,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-30.256023,-8.738925,8.719994,-1.882644
SKMEL24_SKIN,ACH-000822,SKMEL24_SKIN,skin,melanoma,0.3603228785251275,0.6396771214748724,0.500288311003867,0.221386,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-39.087242,14.130489,-16.836443,-5.8278937
SKUT1_SOFT_TISSUE,ACH-000939,SKUT1_SOFT_TISSUE,soft_tissue,leiomyosarcoma,0.8075376271303685,0.1924623728696315,0.734213465707432,0.905823,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-11.381346,-20.173538,7.4308023,-1.3547614
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,SNB75_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7796397720078305,0.2203602279921694,0.744194859787596,0.812996,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-44.025455,14.417638,7.366557,-2.4850674
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,SNU1041_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,0.8771394633621455,0.1228605366378544,0.820399970611821,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,23.154133,26.19199,-6.2784595,8.006779
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,SNU1105_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.7167178868782121,0.2832821131217878,0.70119424823369,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-47.485657,9.992964,3.6049721,-1.789067
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,SNU1214_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive,upper_aerodigestive_squamous,0.4297089981434639,0.5702910018565361,0.544400665769965,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,16.692078,32.45152,-21.655638,40.66851
SNU245_BILIARY_TRACT,ACH-000268,SNU245_BILIARY_TRACT,bile_duct,cholangiocarcinoma,0.5208547086473753,0.4791452913526247,0.600176212712626,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,44.377403,3.9628,-2.6268365,0.08191766
SNU685_ENDOMETRIUM,ACH-000407,SNU685_ENDOMETRIUM,uterus,uterus_endometrium,0.7159669690432563,0.2840330309567437,0.700108618974883,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-27.568281,-7.169052,6.267604,-2.557626
SW480_LARGE_INTESTINE,ACH-000842,SW480_LARGE_INTESTINE,colorectal,,0.4371310398876486,0.5628689601123513,0.54608178673312,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,15.225811,-0.66308326,-0.0517032,1.4866977
SW48_LARGE_INTESTINE,ACH-000958,SW48_LARGE_INTESTINE,colorectal,colorectal_MSI,0.649982039230214,0.350017960769786,0.734548129285794,0.460759,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,31.116463,-10.148377,3.8484616,-3.176533
