outer_fold,model,inner_fold,control_dimension,response_rank,alpha,mean_rmse,n_validation_lines
1,CCLR,1,10,2,100.0,0.29973157676229184,19
1,CCLR,1,10,5,0.01,0.30505804808397413,19
1,CCLR,1,10,5,0.1,0.3050339017549736,19
1,CCLR,1,10,5,1.0,0.3047993829203028,19
1,CCLR,1,10,5,10.0,0.3030104276830576,19
1,CCLR,1,10,5,100.0,0.29972486008389393,19
1,CCLR,1,10,10,0.01,0.307515784316043,19
1,CCLR,1,10,10,0.1,0.30748026402269324,19
1,CCLR,1,10,10,1.0,0.30713520787593473,19
1,CCLR,1,10,10,10.0,0.304497456571242,19
1,CCLR,1,10,10,100.0,0.29952994539033606,19
1,CCLR,1,10,20,0.01,0.3093027659956074,19
1,CCLR,1,10,20,0.1,0.3092588407526571,19
1,CCLR,1,10,20,1.0,0.3088320474709876,19
1,CCLR,1,10,20,10.0,0.3055635228368482,19
1,CCLR,1,10,20,100.0,0.2993434060649572,19
1,CCLR,1,20,2,0.01,0.3027461747752496,19
1,CCLR,1,20,2,0.1,0.3027310790783397,19
1,CCLR,1,20,2,1.0,0.3025846376875799,19
1,CCLR,1,20,2,10.0,0.3014808032702353,19
1,CCLR,1,20,2,100.0,0.2996877288116624,19
1,CCLR,1,20,5,0.01,0.30747624453459715,19
1,CCLR,1,20,5,0.1,0.30744376628282777,19
1,CCLR,1,20,5,1.0,0.30712797227661803,19
1,CCLR,1,20,5,10.0,0.30469401395091233,19
1,CCLR,1,20,5,100.0,0.299878903535897,19
1,CCLR,1,20,10,0.01,0.31067233252514476,19
1,CCLR,1,20,10,0.1,0.3106260906134724,19
1,CCLR,1,20,10,1.0,0.3101764541664387,19
1,CCLR,1,20,10,10.0,0.3067089845158664,19
1,CCLR,1,20,10,100.0,0.2997641622728675,19
1,CCLR,1,20,20,0.01,0.3134418558039845,19
1,CCLR,1,20,20,0.1,0.3133842398156375,19
1,CCLR,1,20,20,1.0,0.3128238862551557,19
1,CCLR,1,20,20,10.0,0.3084941914065961,19
1,CCLR,1,20,20,100.0,0.2997109873114371,19
1,CCLR,1,30,2,0.01,0.303460412462982,19
1,CCLR,1,30,2,0.1,0.3034423029883735,19
1,CCLR,1,30,2,1.0,0.3032664787959884,19
1,CCLR,1,30,2,10.0,0.3019310756085913,19
1,CCLR,1,30,2,100.0,0.29964005752270656,19
1,CCLR,1,30,5,0.01,0.3086737565231655,19
1,CCLR,1,30,5,0.1,0.30863700841963515,19
1,CCLR,1,30,5,1.0,0.30827953754641585,19
1,CCLR,1,30,5,10.0,0.30551334257216994,19
1,CCLR,1,30,5,100.0,0.2999158622290241,19
1,CCLR,1,30,10,0.01,0.3121543194176987,19
1,CCLR,1,30,10,0.1,0.31210286472226645,19
1,CCLR,1,30,10,1.0,0.311602358008479,19
1,CCLR,1,30,10,10.0,0.3077299881922717,19
1,CCLR,1,30,10,100.0,0.29982997423370994,19
1,CCLR,1,30,20,0.01,0.3160143400622265,19
1,CCLR,1,30,20,0.1,0.3159478616250036,19
1,CCLR,1,30,20,1.0,0.31530104516189045,19
1,CCLR,1,30,20,10.0,0.3102843830675235,19
1,CCLR,1,30,20,100.0,0.29986988361673433,19
1,CCLR,2,5,2,0.01,0.3081663796553656,18
1,CCLR,2,5,2,0.1,0.30816097895681716,18
1,CCLR,2,5,2,1.0,0.3081086436338795,18
1,CCLR,2,5,2,10.0,0.30771770271576915,18
1,CCLR,2,5,2,100.0,0.3071158229657301,18
1,CCLR,2,5,5,0.01,0.3086633776241283,18
1,CCLR,2,5,5,0.1,0.3086547184500505,18
1,CCLR,2,5,5,1.0,0.30857077576937775,18
1,CCLR,2,5,5,10.0,0.30794149274336624,18
1,CCLR,2,5,5,100.0,0.30693778631004215,18
1,CCLR,2,5,10,0.01,0.30933524378689436,18
1,CCLR,2,5,10,0.1,0.30932270844260906,18
