cell_line,depmap_id,lineage,trametinib_sensitivity,braf_mut,kras_mut,b4_rmse,cclr_rmse,b4_pcc_context,response_rms,baseline_novelty,min_condition_cells,high_error,high_response_magnitude,high_baseline_novelty,low_cell_support,error_type
MALME3M_SKIN,ACH-000477,skin,0.7484475695633201,True,False,0.5999677536243455,0.598958423607201,0.157070602216287,0.6496816,2.5181533755478607,40,True,True,False,False,high_magnitude_target
MDAMB435S_SKIN,ACH-000884,skin,0.7315570309831185,True,False,0.2716950840924688,0.2715737924889828,0.0788682198217397,0.30777377,3.0975674268913322,68,False,False,True,False,not_high_error
MDAMB468_BREAST,ACH-000849,breast,0.1249078660678294,False,False,0.2610391799857184,0.2603022659521528,0.0643838541237301,0.28901014,2.202090133615874,74,False,False,False,False,not_high_error
MIAPACA2_PANCREAS,ACH-000601,pancreas,0.5771143721113301,False,True,0.2615730619747075,0.2640095751604775,0.0958746389956303,0.33060107,2.3185609687719935,112,False,False,False,False,not_high_error
MSTO211H_PLEURA,ACH-000335,mesothelioma,0.6805992696851977,False,False,0.236143989967976,0.2374771939572305,0.1113941626621692,0.29330456,2.1618072257487144,64,False,False,False,False,not_high_error
NCIH1048_LUNG,ACH-000866,lung,0.1481420688072686,False,False,0.4087198826212765,0.4071273109635273,0.0595591682860088,0.4252311,3.3305244800874547,57,True,True,True,False,high_magnitude_target
NCIH1299_LUNG,ACH-000510,lung,0.3912888567544772,False,False,0.1773284730541476,0.1775392042819487,0.1718939339449083,0.22201486,3.041060035698021,119,False,False,True,False,not_high_error
NCIH1355_LUNG,ACH-000666,lung,0.4551601114910222,False,True,0.3318525430697102,0.333087395604136,0.0339694821756536,0.3776795,1.8691744788875397,64,False,False,False,False,not_high_error
NCIH1573_LUNG,ACH-000916,lung,0.2293973657762296,False,True,0.3721719976566965,0.3725002275280422,0.0750133579551531,0.39925623,2.885529105304198,29,True,False,True,True,baseline_novelty
NCIH1581_LUNG,ACH-000015,lung,0.2546905638181109,False,False,0.2447791139877546,0.2452975219563253,0.1545051503542431,0.27365074,2.017506402951014,114,False,False,False,False,not_high_error
NCIH1650_LUNG,ACH-000035,lung,0.1054878190261,False,False,0.3510685685458444,0.3503579293738023,0.0517786349943776,0.37551805,2.4255264553554494,36,False,False,False,True,not_high_error
NCIH1693_LUNG,ACH-000021,lung,0.3136178347128273,False,False,0.2433149349256,0.2434670387241998,0.0220886141910593,0.2905031,2.537320352567686,80,False,False,False,False,not_high_error
NCIH1793_LUNG,ACH-000888,lung,0.1987808749032467,False,False,0.3195243877997462,0.319678569776275,0.0732439916439312,0.34019753,2.975103977850075,43,False,False,True,False,not_high_error
NCIH1915_LUNG,ACH-000434,lung,0.543480274577263,False,False,0.3414932060855285,0.3420557716979612,0.1126387553261364,0.39297575,2.5106207791719295,60,False,False,False,False,not_high_error
NCIH2126_LUNG,ACH-000785,lung,0.0985857882293346,False,False,0.288483976542078,0.2862780769041448,0.0356075936508647,0.29899967,3.355181445883638,49,False,False,True,False,not_high_error
NCIH2347_LUNG,ACH-000875,lung,0.6235215746860997,False,True,0.4863313566908807,0.4849010096284336,0.0992660348207995,0.53154963,1.8008701101744147,24,True,True,False,True,high_magnitude_target
NCIH23_LUNG,ACH-000900,lung,0.2900226122628613,False,True,0.2739305423215004,0.2744868657328796,0.1392045355994267,0.30705094,2.6041344861838307,70,False,False,False,False,not_high_error
NCIH2444_LUNG,ACH-000186,lung,0.3723476219013704,False,True,0.3278998369086129,0.3276773808335969,0.1812581364252065,0.38549834,2.581349983241119,46,False,False,False,False,not_high_error
NCIH322_LUNG,ACH-000837,lung,0.2643722181366084,False,False,0.3187670777618299,0.3190974959111853,0.0819467937346984,0.35008684,2.978993839863706,34,False,False,True,True,not_high_error
NCIH522_LUNG,ACH-000343,lung,0.0953104196720129,False,False,0.3242609460966277,0.3251809961079988,0.1858792396295657,0.33708102,2.940823875471109,45,False,False,True,False,not_high_error
