cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4,rmse_gain_vs_cclr,outer_test_response_used_for_fit,report_order
NCIH2126_LUNG,ACH-000785,lung,1,B1_MEAN_W5,False,,0.2865390357631427,0.9583255975572256,0.3355027065074381,0.2566693294418051,0.24,,0.0,0.0,0.0019449407789353113,,-0.00026095885899790616,False,0
NCIH2347_LUNG,ACH-000875,lung,0,B1_MEAN_W5,False,,0.4884189917421065,0.918858612681668,0.4011925009744616,0.3090487289324765,0.09,,0.0,0.0,-0.0020876350512258335,,-0.003517982113672935,False,0
NCIH23_LUNG,ACH-000900,lung,0,B1_MEAN_W5,False,,0.276792339607864,0.901454134769384,0.4393947426242342,0.3337637531898229,0.24,,0.0,0.0,-0.0028617972863635988,,-0.002305473874984365,False,0
NCIH2444_LUNG,ACH-000186,lung,2,B1_MEAN_W5,False,,0.3330935626315117,0.8640596522050316,0.5214797999858758,0.4018805975185522,0.2299999999999999,,0.0,0.0,-0.005193725722898779,,-0.00541618179791481,False,0
NCIH322_LUNG,ACH-000837,lung,4,B1_MEAN_W5,False,,0.3194247502337946,0.912415785702116,0.4042519626669819,0.3290531223275912,0.18,,0.0,0.0,-0.0006576724719646876,,-0.0003272543226092717,False,0
NCIH522_LUNG,ACH-000343,lung,1,B1_MEAN_W5,False,,0.3295688184766585,0.9777139978120688,0.2646424726699171,0.2356378043990665,0.13,,0.0,0.0,-0.005307872380030776,,-0.0043878223686596995,False,0
NCIH838_LUNG,ACH-000416,lung,4,B1_MEAN_W5,False,,0.2140449832002454,0.9157544205903692,0.4565827620359479,0.356912713028973,0.25,,0.0,0.0,0.00015157235577420436,,-0.00350003799674381,False,0
NCIH841_LUNG,ACH-000292,lung,1,B1_MEAN_W5,False,,0.2415335081095126,0.9129323174039748,0.429068679726105,0.3574828532167788,0.22,,0.0,0.0,-0.005084590378876208,,-0.004122940998655705,False,0
NUGC3_STOMACH,ACH-000911,gastric,4,B1_MEAN_W5,False,,0.3140992790296466,0.877868027215745,0.4777922931570275,0.3872092237944213,0.16,,0.0,0.0,-0.0018725573174049326,,-0.0014873899555602477,False,0
OAW42_OVARY,ACH-000704,ovary,3,B1_MEAN_W5,False,,0.1786166079137338,0.8186975789977748,0.5747991514959562,0.4321302808725818,0.37,,0.0,0.0,-0.002077421115250694,,-0.0010403327847022803,False,0
OSRC2_KIDNEY,ACH-000159,kidney,4,B1_MEAN_W5,False,,0.3069633198318272,0.914326189039664,0.4041943648270446,0.3405655821160004,0.12,,0.0,0.0,0.00022993655838410287,,0.0003190631665772048,False,0
PANC0403_PANCREAS,ACH-000235,pancreas,1,B1_MEAN_W5,False,,0.3824307710025416,0.8791719234261947,0.4788231437704506,0.3719082116499875,0.1699999999999999,,0.0,0.0,-0.006751089717121572,,-0.007784658574509495,False,0
PATU8988S_PANCREAS,ACH-000022,pancreas,3,B1_MEAN_W5,False,,0.334647906902758,0.9010102037750664,0.4492863564873834,0.340068783027812,0.24,,0.0,0.0,-0.003298933004032778,,-0.0024023140756200823,False,0
PC3_PROSTATE,ACH-000090,prostate,2,B1_MEAN_W5,False,,0.2699072555658868,1.045623256592234,0.2151097333393151,0.1817805668943344,0.1,,0.0,0.0,0.0017910048531111222,,0.0014730581076028981,False,0
QGP1_PANCREAS,ACH-000347,pancreas,4,B1_MEAN_W5,False,,0.4930841629209982,0.9311140733681162,0.3369156677112261,0.282611600616691,0.09,,0.0,0.0,0.003053042186085486,,0.001664079106029559,False,0
RCC10RGB_KIDNEY,ACH-000189,kidney,0,B1_MEAN_W5,False,,0.2841303911980397,0.884717921080951,0.4749779406275268,0.3543599078545706,0.26,,0.0,0.0,-0.003669882542031655,,-0.0006966345316044009,False,0
RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,4,B1_MEAN_W5,False,,0.2577329242598603,0.9746975015052216,0.3360987576340289,0.2752686536433803,0.13,,0.0,0.0,-0.0008179823279546583,,-0.0013053984958517617,False,0
SKMEL24_SKIN,ACH-000822,skin,3,B1_MEAN_W5,False,,0.3948812403344318,0.8848435665423757,0.4719275583900289,0.3752008701002812,0.25,,0.0,0.0,-0.010175106471851159,,-0.009770647046274561,False,0
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1,B1_MEAN_W5,False,,0.2785783346670146,0.9188315851428576,0.4091074720252844,0.3119743581088812,0.23,,0.0,0.0,-0.0031566251623698083,,-0.0013994542268015997,False,0
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,4,B1_MEAN_W5,False,,0.3419985647880625,0.9518409160384378,0.3226268847001681,0.2803555094456877,0.08,,0.0,0.0,0.0021090994540688968,,0.00012547878991198136,False,0
