outer_fold,model,inner_fold,dimension,alpha,mean_rmse
2,B4,1,30,0.1,0.341807033558689
2,B4,1,30,1.0,0.341164061725629
2,B4,1,30,10.0,0.3362674503194368
2,B4,1,30,100.0,0.3273938543325595
2,B3,2,5,,0.4234712546968543
2,B4,2,5,0.01,0.31438137061052657
2,B4,2,5,0.1,0.31435966924384195
2,B4,2,5,1.0,0.31414946263731225
2,B4,2,5,10.0,0.31258601629882604
2,B4,2,5,100.0,0.31028367062272666
2,B3,2,10,,0.432890785919585
2,B4,2,10,0.01,0.3196862183559995
2,B4,2,10,0.1,0.3196440697621818
2,B4,2,10,1.0,0.319234817591489
2,B4,2,10,10.0,0.31611957992421447
2,B4,2,10,100.0,0.3104148619420613
2,B3,2,20,,0.41810754637077546
2,B4,2,20,0.01,0.32459767355064395
2,B4,2,20,0.1,0.3245375550041382
2,B4,2,20,1.0,0.32395324909018186
2,B4,2,20,10.0,0.3194648500000151
2,B4,2,20,100.0,0.3106528209070487
2,B3,2,30,,0.4343157929626612
2,B4,2,30,0.01,0.32659999749260515
2,B4,2,30,0.1,0.32653292344662543
2,B4,2,30,1.0,0.3258807977190194
2,B4,2,30,10.0,0.3208561521905936
2,B4,2,30,100.0,0.31078750973413066
2,B3,3,5,,0.4613976783428787
2,B4,3,5,0.01,0.33442692357613396
2,B4,3,5,0.1,0.3343986989443992
2,B4,3,5,1.0,0.33412502295930785
2,B4,3,5,10.0,0.33206884174529866
2,B4,3,5,100.0,0.3286993133132706
2,B3,3,10,,0.45325599890433255
2,B4,3,10,0.01,0.3395268593259343
2,B4,3,10,0.1,0.33947760386952447
2,B4,3,10,1.0,0.3389992251644305
2,B4,3,10,10.0,0.3353498097164555
2,B4,3,10,100.0,0.32858909081763166
2,B3,3,20,,0.4252464739680843
2,B4,3,20,0.01,0.3451608581645849
2,B4,3,20,0.1,0.34509241023732906
2,B4,3,20,1.0,0.3444268582772878
2,B4,3,20,10.0,0.33929448128728934
2,B4,3,20,100.0,0.32900745087436684
2,B3,3,30,,0.4424038151290222
2,B4,3,30,0.01,0.3483565334145908
2,B4,3,30,0.1,0.34827715929299063
2,B4,3,30,1.0,0.3475050270939349
2,B4,3,30,10.0,0.3415267249831884
2,B4,3,30,100.0,0.32922296422649455
3,B3,0,5,,0.43766649460326923
3,B4,0,5,0.01,0.32196267524229255
3,B4,0,5,0.1,0.3219305913448306
3,B4,0,5,1.0,0.321619117387563
