cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1
NCIH1915_LUNG,ACH-000434,lung,2,B0,False,,0.3929757461843832,1.0,,,0.0,-0.10373424911669676,-0.049392846399543555,-0.12568929985915356
NCIH1915_LUNG,ACH-000434,lung,2,B1,False,,0.34358289978483963,0.8743107001408464,0.48766965208986895,0.39665214422664175,0.18,,0.0,0.0
NCIH1915_LUNG,ACH-000434,lung,2,B2,False,,0.35331653817107034,0.8990797564521835,0.43176789272696386,0.3497190767730885,0.2,-0.04186501629771683,-0.009733638386230703,-0.02476905631133708
NCIH1915_LUNG,ACH-000434,lung,2,B3,False,CAL62_THYROID,0.4009394349776526,1.0202650898193928,0.362186671583069,0.326377463392818,0.23,0.08500971747288268,-0.057356535192812974,-0.14595438967854635
NCIH1915_LUNG,ACH-000434,lung,2,B4,False,,0.3414932060855285,0.8689930851999726,0.49819756319877634,0.4041871372991563,0.2,0.11263875532613644,0.0020896936993111126,0.005317614940873794
NCIH2444_LUNG,ACH-000186,lung,2,B0,False,,0.38549834120997983,1.0,,,0.0,-0.13771304374947715,-0.05240477857846809,-0.13594034779496844
NCIH2444_LUNG,ACH-000186,lung,2,B1,False,,0.33309356263151174,0.8640596522050316,0.5214797999858758,0.40188059751855226,0.22999999999999998,,0.0,0.0
NCIH2444_LUNG,ACH-000186,lung,2,B2,False,,0.34617857945081126,0.8980027731487664,0.44717913400492165,0.33619439644678883,0.2,-0.08888100475443146,-0.013085016819299522,-0.03394312094373486
NCIH2444_LUNG,ACH-000186,lung,2,B3,False,SW900_LUNG,0.4741533957108313,1.2299751906132361,0.34451691326962675,0.28572782386496837,0.18,0.11568396538532397,-0.14105983307931957,-0.36591553840820457
NCIH2444_LUNG,ACH-000186,lung,2,B4,False,,0.32789983690861296,0.8505868945620362,0.5373048686527162,0.40823304863333054,0.27,0.18125813642520655,0.005193725722898779,0.013472757642995381
PC3_PROSTATE,ACH-000090,prostate,2,B0,False,,0.25813050146334265,1.0,,,0.0,0.370903077595799,0.01177675410254414,0.045623256592234096
PC3_PROSTATE,ACH-000090,prostate,2,B1,False,,0.2699072555658868,1.045623256592234,0.21510973333931513,0.18178056689433442,0.1,,0.0,0.0
PC3_PROSTATE,ACH-000090,prostate,2,B2,False,,0.3438402165764625,1.3320402456402138,0.12516633823115464,0.12220391929182994,0.06,0.11631507844163275,-0.07393296101057573,-0.28641698904797974
PC3_PROSTATE,ACH-000090,prostate,2,B3,False,8505C_THYROID,0.39861250694312605,1.5442286156939629,0.10971098457795478,0.11855682731125482,0.07,-0.032624616641312276,-0.12870525137723926,-0.49860535910172876
