cell_line,depmap_id,disease,time_hours,model,rmse_delta,pcc_delta,spearman_delta,rmse_gain_vs_b1,external_test,temporal_response_used_for_fit
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,B1,0.3400853250369251,0.30996579094691723,0.21815342447473784,0.0,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,B1,0.433446069369252,0.3741701479104937,0.2976357054191996,0.0,True,False
BT474_BREAST,ACH-000927,breast cancer,24,B1,0.3563215147212353,0.15874403856503555,0.14134638002194935,0.0,True,False
BT549_BREAST,ACH-000288,breast cancer,24,B1,0.3457888967175675,0.12400638010900092,0.08210726420289702,0.0,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,B1,0.36254990159120787,0.08312044574161696,0.05310170119317386,0.0,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,24,B1,0.4256646371236836,0.3387106146187419,0.2550406408210116,0.0,True,False
IALM_LUNG,ACH-000672,lung cancer,24,B1,0.40735193002062897,0.27718285678677324,0.20962482519092362,0.0,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,24,B1,0.47843845179469335,0.3628894285135128,0.273211885272529,0.0,True,False
NCIH226_LUNG,ACH-000367,lung cancer,24,B1,0.3020320130519284,0.24256804315401487,0.1843407394026801,0.0,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,B1,0.3614674631578924,0.41642240187721197,0.29524609976196575,0.0,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,B1,0.3692208627937333,0.34225998888110504,0.23562642310204912,0.0,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,24,B1,0.25129647376443953,0.29725753435001784,0.19669949774492906,0.0,True,False
