cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,control,48,76,2026422,DMSO_48hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,trametinib,3,21,605114,Tram_3hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,trametinib,6,29,666067,Tram_6hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,trametinib,12,24,577645,Tram_12hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,trametinib,24,45,742864,Tram_24hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,trametinib,48,20,346154,Tram_48hr,True,False,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,untreated,48,43,981260,Untreated_48hr,True,False,False
NCIH226_LUNG,ACH-000367,lung cancer,control,3,66,2308481,DMSO_3hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,control,6,32,1168335,DMSO_6hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,control,12,48,1560901,DMSO_12hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,control,24,46,1660478,DMSO_24hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,control,48,91,2614646,DMSO_48hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,trametinib,3,36,1303457,Tram_3hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,trametinib,6,47,1390791,Tram_6hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,trametinib,12,34,1257550,Tram_12hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,trametinib,24,80,2435887,Tram_24hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,trametinib,48,67,2202514,Tram_48hr,True,True,True
NCIH226_LUNG,ACH-000367,lung cancer,untreated,48,57,1810843,Untreated_48hr,True,True,True
